companyid,text,category,year
C000000182,"Allis-Chalmers Energy Inc. provides services and equipment to oil and natural gas exploration and production companies throughout the Unites States, including Texas, Louisiana, Arkansas, Pennsylvania, Oklahoma, New Mexico, offshore in the Gulf of Mexico, and globally primarily in Argentina, Brazil, Bolivia and Mexico. It has three segments: oilfield services, drilling and completion and rental services. Oilfield services include the oilfield service divisions, namely directional drilling services, casing and tubular services, underbalanced drilling services and production services. Drilling and Completion includes drilling, completion, workover and related services. Rental Services includes the rental of specialized oilfield equipment. In July 2010, the Company acquired American Well Control, Inc.",mining,1913
C000000241,Involved in oil and gas exploration based on sophisticated computer trend analysis techniques.  ,mining,1980
C000000399,"Trecora Resources (TREC) is a provider of high-purity specialty hydrocarbons and waxes. TREC owns and operates a facility located in southeast Texas, just north of Beaumont, which specializes in high-purity hydrocarbons and other petrochemical manufacturing. The Company operates through two segments: specialty petrochemical products and specialty synthetic waxes. The specialty petrochemical products segment operates through South Hampton Resources, Inc. (SHR). The specialty synthetic wax segment operates through Trecora Chemical, Inc. (TC). SHR owns and operates a specialty petrochemical facility that produces hydrocarbons and other petroleum-based products, including isopentane, normal pentane, isohexane and hexane. TC produces specialty polyethylene and poly alpha olefin waxes, and provides custom processing services. In addition, the Company is the 33.4% owner of Al Masane Al Kobra Mining Co., a Saudi Arabian joint stock company.",mining,1967
C000001028,"Chesapeake Energy Corporation produces natural gas, oil and natural gas liquids (NGL) in the United States. It operates in two segments: Exploration and Production, and Marketing, Gathering and Compression. Exploration and production is engaged in finding and producing oil, natural gas and NGL. Marketing, gathering and compression is engaged in marketing, gathering and compression of oil, natural gas and NGL. As of December 31, 2016, it owned interests in approximately 22,700 oil and natural gas wells. It has a diverse resource base of onshore the United States unconventional natural gas and liquids assets. It has positions in resource plays of the Eagle Ford Shale in South Texas, the Utica Shale in Ohio, the Anadarko Basin in northwestern Oklahoma and the stacked pay in the Powder River Basin in Wyoming. Its natural gas resource plays are the Haynesville/Bossier Shales in northwestern Louisiana and East Texas and the Marcellus Shale in the northern Appalachian Basin in Pennsylvania.",mining,1996
C000001123,"Coho Energy, Inc. is an independent energy company engaged, through its wholly owned subsidiaries, Coho Resources, Inc. and Coho Oil & Gas, Inc., in the development and production of, and exploration for, crude oil and natural gas. On February 6, 2002, the Company and its wholly owned subsidiaries filed a voluntary petition for relief under Chapter 11 of the United States Bankruptcy Code in the United States Bankruptcy Court for the Northern District of Texas. The bankruptcy petitions were filed to protect the Company while it develops a solution to its liquidity problems. The Company is operating as debtor-in-possession under the court's supervision and pursuant to the court's orders. In August 2002, the Company sold all of its oil and gas properties.",mining,1993
C000001410,"Dawson Operating Company, formerly Dawson Geophysical Company, is a provider of onshore seismic data acquisition and processing services. The Company acquires and processes 2-D, 3-D and multi-component seismic data to clients, including oil and gas companies and independent oil and gas operators, as well as providers of multi-client data libraries. The Company's revenues are derived from the seismic data acquisition services provided to clients, mainly in domestic oil and natural gas companies. The Company's business services include: Geophysical Services, collects seismic data using either 3-D or 2-D methods and compute to economically process data; Data Acquisition, performs seismic survey at client requests; Data Processing, operates a computer center and provides additional processing services through City offices, and Integrated Services, conduct and supervise the seismic survey design, permitting, surveying, data acquisition and processing functions for each seismic program.",mining,1957
C000001459,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry. As of December 31, 2016, the Company had a fleet of 24 offshore drilling rigs. As of December 31, 2016, its fleet consisted of four drillships, 19 semisubmersible rigs and one jack-up rig. Its fleet enables it to offer a range of services, primarily in the floater market, including ultra-deepwater, deepwater and mid-water. The principal markets for its offshore contract drilling services are the Gulf of Mexico, including the United States and Mexico; South America, principally offshore Brazil, and Trinidad and Tobago; Australia and Southeast Asia, including Malaysia, Indonesia and Vietnam; Europe, principally offshore the United Kingdom and Norway; East and West Africa; the Mediterranean, and the Middle East. The Company provides offshore drilling services to a customer base that includes independent oil and gas companies, and government-owned oil companies.",mining,1989
C000001550,"Ensco Rowan Plc, formerly Ensco Plc, is an offshore contract drilling company. It provides offshore contract drilling services to the international oil and gas industry. Its segments include Floaters, Jackups and Other. The Floaters segment includes its drillships and semisubmersible rigs, and provides contract drilling. Other consists of management services on rigs owned by third parties. The Floaters and the Jackups segments provide contract drilling. It owned and operated an offshore drilling rig fleet of 56 rigs, including three rigs under construction, with drilling operations around the world, as of December 31, 2016. As of December 31, 2018, its rig fleet included 12 drill ships, nine dynamically positioned semisubmersible rigs, three moored semisubmersible rigs and 35 jackup rigs. As of December 31, 2018, of its 59 rigs, 29 were located in the Middle East, Africa and Asia Pacific, 12 were located in North and South America and 18 were located in Europe and the Mediterranean.",mining,2009
C000001637,"Provides oil and gas exploration and production services with activities focused primarily in the Gulf of Mexico. The Company has existing production on the continental shelf, onshore in Texas and in Indonesia. In addition, the Company in the Garden Banks, Green Canyon and Mississippi Canyon areas of the Gulf.  ",mining,2007
C000001639,"EOG Resources, Inc. explores for, develops, produces and markets crude oil and natural gas in major producing basins in the United States, The Republic of Trinidad and Tobago, the United Kingdom, The People's Republic of China, Canada and, from time to time, select other international areas. Its operations are all crude oil and natural gas exploration and production related. As of December 31, 2016, its total estimated net proved reserves were over 2,147 million barrels of oil equivalent (MMBoe), of which over 1178 million barrels (MMBbl) were crude oil and condensate reserves, over 416 MMBbl were natural gas liquids reserves and over 3318 billion cubic feet, or 553 MMBoe, were natural gas reserves. Its operations are focused in the productive basins in the United States with a focus on crude oil and, to a lesser extent, liquids-rich natural gas plays. It has operations offshore Trinidad, in the United Kingdom East Irish Sea, in the China Sichuan Basin and in Canada.",mining,1985
C000001915,Manufactures nitrogen fertilizers. ,mining,1990
C000002030,Manages low-risk oil and gas development wells. ,mining,1985
C000002130,"Gulf USA, through its subsidiaries, is engaged in the surface mining of bituminous coal, and the operation of a New Zealand real estate investment co. The co. also has a 26% equity interest in a Texas based oil and gas company.",mining,1991
C000002170,"HKN, Inc. is an independent energy company. The Company is engaged in the development of a balanced portfolio of assets in the energy industry. The Company is involved in the management of its energy-based investments. The Company's BWI operating segment owns an oilfield emulsion breaking technology. Its subsidiaries include BriteWater International, Inc. (BWI), HKN Bakken, Inc. (HBI) and HTH, Inc. BWI's oilfield emulsion breaking technology is a continuous process technology to purify oilfield emulsions by breaking and separating the emulsions into oil, water and solids, thereby reducing the environmental impact and disposal costs of these waste materials, while recovering oil. BWI's subsidiary, Arctic Star Alaska, Inc. (Arctic Star), has a 1,000 barrel per day oilfield waste processing plant located in Deadhorse, Alaska. HBI holds non-operated working and royalty interests in properties located in the Bakken and Niobrara shale oil plays.",mining,1973
C000002425,"ION Geophysical Corporation is a technology-focused company. It provides geophysical technology, services and solutions to the global oil and gas industry. Its offerings are designed to enable oil and gas exploration and production (E&P) companies to obtain images of the Earth's subsurface. It offers services and products through three segments: E&P Technology & Services, E&P Operations Optimization, and Ocean Bottom Services. E&P Technology & Services provides services and products for complex and hard-to-image geologies, such as deepwater subsalt formations in the Gulf of Mexico and offshore East and West Africa and Brazil; unconventional reservoirs, such as those found onshore in shale, tight gas and oil sands formations, and offshore basin-wide seismic data and imaging programs. E&P Operations Optimization combines its Optimization Software and Services and Devices offerings. Ocean Bottom Services consists of OceanGeo, an ocean bottom data acquisition services company.",mining,1968
C000002583,"Evergreen Energy Inc. (Evergreen Energy) is a cleaner coal technology, energy production and environmental solutions company primarily focused on developing and marketing K-Fuel. Evergreen Energy is consists of two clean energy business units that own two transformative technologies: K-Fuel and the GreenCert suite of software and services. It operates in two segments: Technology segment and the GreenCert segment. The Technology segment consists of all operations that use, apply, own or otherwise advance its K-Fuel process, including its headquarters and related operations, and activities of Evergreen Energy Asia Pacific Corp. and KFx Technology, LLC, which holds the licenses to its technology. The GreenCert segment represents the operations of its GreenCert software suite, which focuses on providing power generators with operational intelligence and analytics to identify fuel and operational efficiency, and addressing new regulatory pressures regarding environmental emissions.",mining,1982
C000002628,"Operates as an oil and gas exploration and production company. The Company explores and produces oil and gas mainly in the Gulf of Mexico and the UK North Sea, as well as in Africa, Asia, Europe, and Latin America. The Company also makes industrial chemicals- it is a producer of titanium dioxide, and operates plants in Australia, Europe and the U.S.  ",mining,1929
C000002872,"Magma Copper Co. is a fully-integrated producer of electrolytic copper. Magma's products include high quality copper cathode, copper rod, and gold and silver-bearing residues.",mining,1910
C000002901,"Offshore drilling contractor with one of the largest fleets of jack-up drilling rigs operating in the Gulf of Mexico, through its subsidiaries, MarDrill, Inc. and Keyes Offshore, Inc.  ",mining,1966
C000003021,"The Company provides oil and gas exploration and production services. Through its wholly owned subsidiaries, Meridian holds interests primarily in the onshore oil and natural gas regions of south Louisiana and Texas and offshore in the Gulf of Mexico. ",mining,1990
C000003283,"Operates an independent oil and gas exploration and production company. The Company drills in and around the Gulf of Mexico, mostly in the shallow waters off the Louisiana coast. It works onshore, in the Gulf Coast region of Texas and Louisiana. Newfield has also expanded into Oklahoma's Anadarko Basin through the acquisition of Lariat Petroleum. Its international activities include drilling offshore of China and off the coast of northern Australia.The Company has proved reserves of 1.2 trillion cu. ft. of natural gas equivalent. In 2002 Newfield acquired Gulf Coast explorer EEX Corporation.  ",mining,1988
C000003309,"Noble Energy, Inc. is an independent energy company. The Company is engaged in crude oil, natural gas and natural gas liquids (NGLs) exploration, development and production. The Company's segments include United States, including the United States onshore; Eastern Mediterranean, including offshore Israel and Cyprus; West Africa, including offshore Equatorial Guinea, Cameroon and Gabon; Other International and Corporate, including Newfoundland, Suriname and other ventures; and Midstream. Its portfolio of assets is diversified through the United States and production mix among crude oil, natural gas and NGLs. Its business focuses on the United States unconventional basins and conventional basins. It also owns midstream assets used in the processing and transportation of its onshore production in the United States. The Company's exploration activities include geophysical and geological evaluation; analysis of commercial, regulatory and political risks and exploratory drilling.",mining,1969
C000003386,"Oceaneering International, Inc. is an oilfield provider of engineered services and products, primarily to the offshore oil and gas industry, with a focus on deepwater applications. The Company's business segments are contained within two businesses: services and products provided to the oil and gas industry (Oilfield) and all other services and products (Advanced Technologies). Its four business segments within the Oilfield business are Remotely Operated Vehicles (ROVs), Subsea Products, Subsea Projects and Asset Integrity. The services and products it provides to the oil and gas industry include remotely operated vehicles, specialty subsea hardware, engineering and project management, subsea intervention services, including manned diving, survey and positioning services and asset integrity and nondestructive testing services. The Company serves the defense, aerospace and commercial theme park industries.",mining,1965
C000003394,"Operates in the industrial minerals industry in the United States. The Company engages in mining, processing, and distributing industrial minerals and aggregates, such as limestone, lime, and industrial sands. Its limestone products include construction aggregates, ground calcium carbonate fillers, chemical limestone (high calcium and dolomitic), glass sand, ground FGD Sorbent, sized stone, Ag lime, and animal feed.  ",mining,2000
